L,p,eval_set,D_w1_target,D_combined_target,D_w1_combined
3,0.01,weight1_full,1.584807e-05,1.776912e-05,3.350163e-05
3,0.01,weight2_full,2.083878e-05,2.303128e-05,4.377982e-05
3,0.01,random_500,2.340287e-05,2.545137e-05,4.878632e-05
3,0.05,weight1_full,1.950525e-05,3.215197e-06,2.270826e-05
3,0.05,weight2_full,2.048268e-05,3.456801e-06,2.392878e-05
3,0.05,random_500,1.998073e-05,3.449760e-06,2.342335e-05
4,0.01,weight1_full,7.534825e-01,8.202774e-01,6.511869e-01
4,0.01,weight2_full,7.964096e-01,8.160241e-01,6.181816e-01
4,0.01,random_500,7.753156e-01,7.851668e-01,5.657848e-01
4,0.05,weight1_full,3.395285e-01,4.336735e-01,2.808075e-01
4,0.05,weight2_full,2.703742e-01,3.115266e-01,1.733078e-01
4,0.05,random_500,2.335631e-01,2.773563e-01,1.581585e-01
5,0.01,weight1_full,7.863561e-01,7.860651e-01,5.740065e-01
5,0.01,weight2_full,7.806632e-01,7.578972e-01,5.180668e-01
5,0.01,random_500,7.529607e-01,7.255397e-01,4.777792e-01
5,0.05,weight1_full,2.784935e-01,3.019686e-01,1.311229e-01
5,0.05,weight2_full,1.979450e-01,2.030594e-01,7.658509e-02
5,0.05,random_500,1.699174e-01,1.793188e-01,7.064810e-02
6,0.01,weight1_full,7.801708e-01,8.775472e-01,6.578461e-01
6,0.01,weight2_full,7.323851e-01,8.025078e-01,5.614226e-01
6,0.01,random_500,7.010406e-01,7.762175e-01,5.349987e-01
6,0.05,weight1_full,1.903117e-01,2.035881e-01,6.657733e-02
6,0.05,weight2_full,1.316259e-01,1.357197e-01,3.498129e-02
6,0.05,random_500,1.128012e-01,1.177714e-01,3.183144e-02
7,0.01,weight1_full,8.145517e-01,8.377428e-01,7.107455e-01
7,0.01,weight2_full,7.604925e-01,7.614365e-01,6.391072e-01
7,0.01,random_500,7.280634e-01,7.391821e-01,6.131694e-01
7,0.05,weight1_full,1.336621e-01,1.408033e-01,3.968196e-02
7,0.05,weight2_full,9.339351e-02,9.378056e-02,1.807285e-02
7,0.05,random_500,7.781158e-02,7.989505e-02,1.611597e-02
