L,p,eval_set,D_w1_tgt,D_w2_tgt,D_cmb_tgt,D_w1_w2,D_w1_cmb,D_w2_cmb
3,0.01,weight1_full,1.584807e-05,4.637103e-06,1.776912e-05,1.151698e-05,3.350163e-05,2.235296e-05
3,0.01,weight2_full,2.083878e-05,5.762298e-06,2.303128e-05,1.531376e-05,4.377982e-05,2.875273e-05
3,0.01,random_500,2.340287e-05,6.142798e-06,2.545137e-05,1.742846e-05,4.878632e-05,3.156216e-05
3,0.05,weight1_full,1.950525e-05,2.781916e-06,3.215197e-06,1.698874e-05,2.270826e-05,5.792772e-06
3,0.05,weight2_full,2.048268e-05,2.709648e-06,3.456801e-06,1.793079e-05,2.392878e-05,6.047669e-06
3,0.05,random_500,1.998073e-05,2.625096e-06,3.449760e-06,1.745657e-05,2.342335e-05,6.000547e-06
4,0.01,weight1_full,7.534825e-01,8.400379e-01,8.202774e-01,6.634887e-01,6.511869e-01,7.424961e-01
4,0.01,weight2_full,7.964096e-01,8.381099e-01,8.160241e-01,6.155497e-01,6.181816e-01,6.486965e-01
4,0.01,random_500,7.753156e-01,8.090914e-01,7.851668e-01,5.661761e-01,5.657848e-01,5.901530e-01
4,0.05,weight1_full,3.395285e-01,4.300225e-01,4.336735e-01,2.739740e-01,2.808075e-01,2.915544e-01
4,0.05,weight2_full,2.703742e-01,3.073845e-01,3.115266e-01,1.667164e-01,1.733078e-01,1.971357e-01
4,0.05,random_500,2.335631e-01,2.712985e-01,2.773563e-01,1.477050e-01,1.581585e-01,1.869396e-01
5,0.01,weight1_full,7.863561e-01,8.186089e-01,7.860651e-01,6.054536e-01,5.740065e-01,6.329172e-01
5,0.01,weight2_full,7.806632e-01,7.774044e-01,7.578972e-01,5.339834e-01,5.180668e-01,5.410815e-01
5,0.01,random_500,7.529607e-01,7.466795e-01,7.255397e-01,4.923724e-01,4.777792e-01,4.922793e-01
5,0.05,weight1_full,2.784935e-01,3.131562e-01,3.019686e-01,1.504794e-01,1.311229e-01,1.784897e-01
5,0.05,weight2_full,1.979450e-01,2.098957e-01,2.030594e-01,9.113233e-02,7.658509e-02,1.018857e-01
5,0.05,random_500,1.699174e-01,1.848107e-01,1.793188e-01,8.205358e-02,7.064810e-02,9.752400e-02
6,0.01,weight1_full,7.801708e-01,8.903152e-01,8.775472e-01,6.742009e-01,6.578461e-01,7.476143e-01
6,0.01,weight2_full,7.323851e-01,8.055822e-01,8.025078e-01,5.654301e-01,5.614226e-01,6.501228e-01
6,0.01,random_500,7.010406e-01,7.769058e-01,7.762175e-01,5.358662e-01,5.349987e-01,6.242229e-01
6,0.05,weight1_full,1.903117e-01,2.245742e-01,2.035881e-01,1.134723e-01,6.657733e-02,1.274711e-01
6,0.05,weight2_full,1.316259e-01,1.446859e-01,1.357197e-01,6.184722e-02,3.498129e-02,6.922435e-02
6,0.05,random_500,1.128012e-01,1.289057e-01,1.177714e-01,6.016807e-02,3.183144e-02,6.751153e-02
7,0.01,weight1_full,8.145517e-01,8.381019e-01,8.377428e-01,7.080413e-01,7.107455e-01,7.293599e-01
7,0.01,weight2_full,7.604925e-01,7.543523e-01,7.614365e-01,6.308585e-01,6.391072e-01,6.332889e-01
7,0.01,random_500,7.280634e-01,7.295183e-01,7.391821e-01,6.011913e-01,6.131694e-01,6.136153e-01
7,0.05,weight1_full,1.336621e-01,1.461346e-01,1.408033e-01,4.966793e-02,3.968196e-02,5.320820e-02
7,0.05,weight2_full,9.339351e-02,9.411451e-02,9.378056e-02,1.868141e-02,1.807285e-02,2.092769e-02
7,0.05,random_500,7.781158e-02,8.068115e-02,7.989505e-02,1.753588e-02,1.611597e-02,2.115656e-02
