L_target,tag,total_epochs,final_train_loss,min_train_loss,testing_loss,n_test_samples
3,w1,240,0.04165862568361304,0.04159645196497689,0.06424083955510256,30
3,w2,72,0.4643364821333494,0.4643364821333494,1.0503324975157007,30
3,w2_e200,240,0.067627870818353,0.06428745496848585,0.9629645841577597,30
4,w1,240,0.05284325341610821,0.052040201281368915,0.07251348409178503,30
4,w2,72,0.8894547442108655,0.8894547442108655,0.8291371261335196,30
4,w2_e200,240,0.33820049216049003,0.3174398856200388,1.008937025175651,30
5,w1,240,0.05758891145311399,0.057424253286116826,0.07731044873983613,30
5,w2,72,0.8905513294223,0.8905513294223,0.8225045339221392,30
5,w2_e200,240,0.3414304554360272,0.3414304554360272,0.8559656934941036,30
6,w1,240,0.06442806085333529,0.0602426861384929,0.08992858733264707,30
6,w2,72,0.8906877997437616,0.8904876632023427,0.8545586931764441,30
6,w2_e200,240,0.8510751595267637,0.8510751595267637,0.8837035085597769,30
7,w1,240,0.06432881292777139,0.060911136031818074,0.08930499075762104,30
7,w2,72,0.8907054221957592,0.8906157376884714,0.84658445615444,30
7,w2_e200,240,0.8694857893330685,0.8694857893330685,0.8464928535634149,30
