L_target,tag,total_epochs,final_train_loss,min_train_loss,testing_loss,n_test_samples
3,w1,240,2.292874196544234e-05,1.0585713565263361e-05,3.696240965498933e-05,100
3,w2_e60,72,0.005742230024029615,0.0011148365907457458,0.0004964911397961095,100
3,w2_e200,240,6.566192003198018e-06,4.129972672998262e-06,1.1419220728670852e-05,100
4,w1,240,0.7912497420166623,0.7912497420166623,0.77722969111557,100
4,w2_e60,72,0.8612880881338926,0.8612880881338926,0.8549076877750683,100
4,w2_e200,240,0.8146340425172718,0.8146340425172718,0.8865826060163026,100
5,w1,240,0.77650162336645,0.77650162336645,0.7276341973796306,100
5,w2_e60,72,0.7896621488805219,0.7896621488805219,0.7672202835038127,100
5,w2_e200,240,0.8756520858168444,0.8756520858168444,0.851553420872331,100
6,w1,240,0.7877432483696226,0.7877432483696226,0.6984123903595703,100
6,w2_e60,72,0.7203065437208633,0.7203065437208633,0.7071037366101035,100
6,w2_e200,240,0.7734324909904758,0.7734324909904758,0.7575867941230698,100
7,w1,240,0.7839681869833796,0.7839681869833796,0.6969930360736467,100
7,w2_e60,72,0.6525393723074573,0.6525393723074573,0.636506358049557,100
7,w2_e200,240,0.7099622145773761,0.7099622145773761,0.6965247375630749,100
