/home/simba/.virtualenvs/QIP/lib/python3.12/site-packages/cotengra/hyperoptimizers/hyper.py:36: UserWarning: Couldn't import `kahypar` - skipping from default hyper optimizer and using basic `labels` method instead. `kahypar` is highly recommended for the best quality contraction paths.
  warnings.warn(
  p=0.0    seed=0 X@3: L= 1 maxS1=1.2928 (bond 2, S0=1.39, Sinf=0.84)
  p=0.0    seed=0 X@3: L= 2 maxS1=2.3568 (bond 2, S0=2.77, Sinf=1.60)
  p=0.0    seed=0 X@3: L= 3 maxS1=3.3965 (bond 4, S0=4.16, Sinf=2.01)
  p=0.0    seed=0 X@3: L= 4 maxS1=4.3226 (bond 4, S0=5.55, Sinf=2.86)
  p=0.0    seed=0 X@3: L= 5 maxS1=4.7107 (bond 4, S0=5.55, Sinf=3.29)
  p=0.0    seed=0 X@3: L= 6 maxS1=4.8312 (bond 4, S0=5.55, Sinf=3.56)
  p=0.0    seed=0 X@3: L= 7 maxS1=4.9341 (bond 4, S0=5.55, Sinf=3.82)
  p=0.0    seed=0 X@3: L= 8 maxS1=5.0192 (bond 4, S0=5.55, Sinf=4.12)
  p=0.0    seed=0 X@3: L= 9 maxS1=5.0400 (bond 4, S0=5.55, Sinf=4.20)
  p=0.0    seed=0 X@3: L=10 maxS1=5.0484 (bond 4, S0=5.55, Sinf=4.21)
  p=0.0    seed=0 Z@3: L= 1 maxS1=1.1904 (bond 2, S0=1.39, Sinf=0.70)
  p=0.0    seed=0 Z@3: L= 2 maxS1=2.2463 (bond 4, S0=2.77, Sinf=1.40)
  p=0.0    seed=0 Z@3: L= 3 maxS1=3.5144 (bond 4, S0=4.16, Sinf=2.46)
  p=0.0    seed=0 Z@3: L= 4 maxS1=4.4702 (bond 4, S0=5.55, Sinf=3.17)
  p=0.0    seed=0 Z@3: L= 5 maxS1=4.8327 (bond 4, S0=5.55, Sinf=3.72)
  p=0.0    seed=0 Z@3: L= 6 maxS1=4.9299 (bond 4, S0=5.55, Sinf=3.89)
  p=0.0    seed=0 Z@3: L= 7 maxS1=4.9899 (bond 4, S0=5.55, Sinf=4.05)
  p=0.0    seed=0 Z@3: L= 8 maxS1=5.0370 (bond 4, S0=5.55, Sinf=4.15)
  p=0.0    seed=0 Z@3: L= 9 maxS1=5.0456 (bond 4, S0=5.55, Sinf=4.20)
  p=0.0    seed=0 Z@3: L=10 maxS1=5.0447 (bond 4, S0=5.55, Sinf=4.21)
  p=0.0    seed=0 X@1: L= 1 maxS1=1.3598 (bond 2, S0=1.39, Sinf=1.06)
  p=0.0    seed=0 X@1: L= 2 maxS1=1.9916 (bond 2, S0=2.77, Sinf=1.37)
  p=0.0    seed=0 X@1: L= 3 maxS1=2.5692 (bond 2, S0=2.77, Sinf=1.80)
  p=0.0    seed=0 X@1: L= 4 maxS1=3.4547 (bond 4, S0=4.16, Sinf=2.32)
  p=0.0    seed=0 X@1: L= 5 maxS1=4.0929 (bond 4, S0=5.54, Sinf=2.90)
  p=0.0    seed=0 X@1: L= 6 maxS1=4.4227 (bond 4, S0=5.55, Sinf=3.28)
  p=0.0    seed=0 X@1: L= 7 maxS1=4.6997 (bond 4, S0=5.55, Sinf=3.54)
  p=0.0    seed=0 X@1: L= 8 maxS1=4.9730 (bond 4, S0=5.55, Sinf=3.94)
  p=0.0    seed=0 X@1: L= 9 maxS1=5.0175 (bond 4, S0=5.55, Sinf=4.07)
  p=0.0    seed=0 X@1: L=10 maxS1=5.0377 (bond 4, S0=5.55, Sinf=4.15)
  p=0.0    seed=1 X@3: L= 1 maxS1=1.1999 (bond 4, S0=1.39, Sinf=0.65)
  p=0.0    seed=1 X@3: L= 2 maxS1=2.1836 (bond 2, S0=2.77, Sinf=1.70)
  p=0.0    seed=1 X@3: L= 3 maxS1=3.1222 (bond 4, S0=4.16, Sinf=1.89)
  p=0.0    seed=1 X@3: L= 4 maxS1=3.9813 (bond 4, S0=5.55, Sinf=2.83)
  p=0.0    seed=1 X@3: L= 5 maxS1=4.6645 (bond 4, S0=5.55, Sinf=3.45)
  p=0.0    seed=1 X@3: L= 6 maxS1=4.9060 (bond 4, S0=5.55, Sinf=3.89)
  p=0.0    seed=1 X@3: L= 7 maxS1=4.9939 (bond 4, S0=5.55, Sinf=4.07)
  p=0.0    seed=1 X@3: L= 8 maxS1=5.0182 (bond 4, S0=5.55, Sinf=4.10)
  p=0.0    seed=1 X@3: L= 9 maxS1=5.0298 (bond 4, S0=5.55, Sinf=4.14)
  p=0.0    seed=1 X@3: L=10 maxS1=5.0391 (bond 4, S0=5.55, Sinf=4.18)
  p=0.0    seed=1 Z@3: L= 1 maxS1=1.3581 (bond 4, S0=1.39, Sinf=1.15)
  p=0.0    seed=1 Z@3: L= 2 maxS1=2.1233 (bond 4, S0=2.77, Sinf=1.40)
  p=0.0    seed=1 Z@3: L= 3 maxS1=3.2831 (bond 4, S0=4.16, Sinf=2.35)
  p=0.0    seed=1 Z@3: L= 4 maxS1=4.1096 (bond 4, S0=5.55, Sinf=2.91)
  p=0.0    seed=1 Z@3: L= 5 maxS1=4.7175 (bond 4, S0=5.55, Sinf=3.50)
  p=0.0    seed=1 Z@3: L= 6 maxS1=4.9360 (bond 4, S0=5.55, Sinf=3.91)
  p=0.0    seed=1 Z@3: L= 7 maxS1=5.0135 (bond 4, S0=5.54, Sinf=4.10)
  p=0.0    seed=1 Z@3: L= 8 maxS1=5.0268 (bond 4, S0=5.55, Sinf=4.16)
  p=0.0    seed=1 Z@3: L= 9 maxS1=5.0365 (bond 4, S0=5.55, Sinf=4.15)
  p=0.0    seed=1 Z@3: L=10 maxS1=5.0473 (bond 4, S0=5.55, Sinf=4.17)
  p=0.0    seed=1 X@1: L= 1 maxS1=1.2312 (bond 1, S0=1.39, Sinf=0.79)
  p=0.0    seed=1 X@1: L= 2 maxS1=2.1028 (bond 2, S0=2.77, Sinf=1.27)
  p=0.0    seed=1 X@1: L= 3 maxS1=2.2689 (bond 2, S0=2.77, Sinf=1.41)
  p=0.0    seed=1 X@1: L= 4 maxS1=3.0414 (bond 3, S0=4.16, Sinf=2.12)
  p=0.0    seed=1 X@1: L= 5 maxS1=4.0449 (bond 4, S0=5.55, Sinf=2.43)
  p=0.0    seed=1 X@1: L= 6 maxS1=4.5988 (bond 4, S0=5.55, Sinf=3.01)
  p=0.0    seed=1 X@1: L= 7 maxS1=4.8457 (bond 4, S0=5.55, Sinf=3.62)
  p=0.0    seed=1 X@1: L= 8 maxS1=4.9440 (bond 4, S0=5.55, Sinf=3.92)
  p=0.0    seed=1 X@1: L= 9 maxS1=4.9813 (bond 4, S0=5.55, Sinf=4.01)
  p=0.0    seed=1 X@1: L=10 maxS1=5.0243 (bond 4, S0=5.55, Sinf=4.14)
  p=0.01   seed=0 X@3: L= 1 maxS1=1.2956 (bond 2, S0=1.39, Sinf=0.85)
  p=0.01   seed=0 X@3: L= 2 maxS1=2.3525 (bond 2, S0=2.77, Sinf=1.61)
  p=0.01   seed=0 X@3: L= 3 maxS1=3.3294 (bond 4, S0=4.16, Sinf=1.87)
  p=0.01   seed=0 X@3: L= 4 maxS1=4.2351 (bond 4, S0=5.55, Sinf=2.71)
  p=0.01   seed=0 X@3: L= 5 maxS1=4.6361 (bond 4, S0=5.55, Sinf=3.14)
  p=0.01   seed=0 X@3: L= 6 maxS1=4.7726 (bond 4, S0=5.55, Sinf=3.43)
  p=0.01   seed=0 X@3: L= 7 maxS1=4.8917 (bond 4, S0=5.55, Sinf=3.67)
  p=0.01   seed=0 X@3: L= 8 maxS1=5.0048 (bond 4, S0=5.55, Sinf=4.04)
  p=0.01   seed=0 X@3: L= 9 maxS1=5.0328 (bond 4, S0=5.55, Sinf=4.17)
  p=0.01   seed=0 X@3: L=10 maxS1=5.0443 (bond 4, S0=5.55, Sinf=4.19)
  p=0.01   seed=0 Z@3: L= 1 maxS1=1.1956 (bond 2, S0=1.39, Sinf=0.72)
  p=0.01   seed=0 Z@3: L= 2 maxS1=2.2484 (bond 4, S0=2.77, Sinf=1.43)
  p=0.01   seed=0 Z@3: L= 3 maxS1=3.4942 (bond 4, S0=4.16, Sinf=2.44)
  p=0.01   seed=0 Z@3: L= 4 maxS1=4.4346 (bond 4, S0=5.55, Sinf=3.10)
  p=0.01   seed=0 Z@3: L= 5 maxS1=4.7987 (bond 4, S0=5.55, Sinf=3.60)
  p=0.01   seed=0 Z@3: L= 6 maxS1=4.9020 (bond 4, S0=5.55, Sinf=3.76)
  p=0.01   seed=0 Z@3: L= 7 maxS1=4.9689 (bond 4, S0=5.55, Sinf=3.92)
  p=0.01   seed=0 Z@3: L= 8 maxS1=5.0287 (bond 4, S0=5.55, Sinf=4.13)
  p=0.01   seed=0 Z@3: L= 9 maxS1=5.0417 (bond 4, S0=5.55, Sinf=4.20)
  p=0.01   seed=0 Z@3: L=10 maxS1=5.0427 (bond 4, S0=5.55, Sinf=4.20)
  p=0.01   seed=0 X@1: L= 1 maxS1=1.3609 (bond 2, S0=1.39, Sinf=1.07)
  p=0.01   seed=0 X@1: L= 2 maxS1=1.9899 (bond 2, S0=2.77, Sinf=1.35)
  p=0.01   seed=0 X@1: L= 3 maxS1=2.5624 (bond 2, S0=2.77, Sinf=1.79)
  p=0.01   seed=0 X@1: L= 4 maxS1=3.4020 (bond 4, S0=4.16, Sinf=2.19)
  p=0.01   seed=0 X@1: L= 5 maxS1=4.0377 (bond 4, S0=5.55, Sinf=2.76)
  p=0.01   seed=0 X@1: L= 6 maxS1=4.3716 (bond 4, S0=5.55, Sinf=3.13)
